standard,girder_index,rule_id,combination_name,traffic_action,governing_components,moment_knm,shear_kn,torsion_knm,moment_source_case_id,shear_source_case_id,torsion_source_case_id,factors_json
BS 5400,5,bs_combination_2_sls_ha_hb,BS 5400 combination 2 SLS (ha_hb),ha_hb,moment;shear,1915.8740753579409,678.10832675385473,73.105297234280442,832,676,734,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_3_uls_ha,BS 5400 combination 3 ULS (ha),ha,,1737.5230233180034,503.12286774694917,32.411714166812132,179,137,8,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_3_uls_hb,BS 5400 combination 3 ULS (hb),hb,torsion,1988.5935356910838,729.68354858677606,85.862395151029276,135,126,139,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_3_uls_ha_hb,BS 5400 combination 3 ULS (ha_hb),ha_hb,moment;shear,2170.8147328937348,762.81335942924022,80.415826957708489,832,676,734,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_3_sls_ha,BS 5400 combination 3 SLS (ha),ha,,1416.6584186544028,409.60229419755933,25.929371333449708,179,137,8,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_3_sls_hb,BS 5400 combination 3 SLS (hb),hb,torsion,1750.218441537349,647.99031689706908,78.056722864572066,135,126,139,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_3_sls_ha_hb,BS 5400 combination 3 SLS (ha_hb),ha_hb,moment;shear,1915.8740753579409,678.10832675385473,73.105297234280442,832,676,734,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,6,bs_combination_1_uls_ha,BS 5400 combination 1 ULS (ha),ha,,1490.9472375750472,414.20882267990538,58.513237036992876,179,205,178,"{""other_superimposed"": 1.2, ""primary_live"": 1.5, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_1_uls_hb,BS 5400 combination 1 ULS (hb),hb,,1867.7360106734757,646.13455721008518,105.54292655932146,135,126,143,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_1_uls_ha_hb,BS 5400 combination 1 ULS (ha_hb),ha_hb,moment;shear;torsion,1912.0275864006746,651.28370622658554,110.41625598608735,832,678,746,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_1_sls_ha,BS 5400 combination 1 SLS (ha),ha,,1227.219848883567,340.55694049686542,46.810589629594297,179,205,178,"{""other_superimposed"": 1.0, ""primary_live"": 1.2, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
